latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.226297;-5.924206;34;0;0;0;811;0;184.83;3;real;
37.226143;-5.924089;34;0;-1;0;811;0.02;184.81;;;
37.225989;-5.923972;34;0;-1;0;811;0.04;184.79;;;
37.225836;-5.923854;34;0;-1;0;811;0.06;184.77;;;
37.225682;-5.923738;34;0;-1;0;811;0.08;184.75;;;
37.225529;-5.923619;34;0;-1;0;811;0.1;184.73;;;
37.225375;-5.923501;33;0;-1;0;811;0.12;184.71;;;
37.225068;-5.923266;33;0;-1;0;811;0.16;184.67;;;
37.224907;-5.923167;33;0;-1;0;811;0.18;184.65;;;
37.224745;-5.923068;33;0;-1;0;811;0.2;184.63;;;
37.224583;-5.922969;32;0;-1;0;811;0.22;184.61;;;
37.224422;-5.922869;32;0;-1;0;811;0.24;184.59;;;
37.224255;-5.922785;32;0;-1;0;811;0.26;184.57;;;
37.223916;-5.922636;32;0;-1;0;811;0.3;184.53;;;
37.223743;-5.922573;31;0;-1;0;811;0.32;184.51;;;
37.223571;-5.922509;31;0;-1;0;811;0.34;184.49;;;
37.223398;-5.922445;31;0;-1;0;811;0.36;184.47;;;
37.223226;-5.922381;31;0;-1;0;811;0.38;184.45;;;
37.223053;-5.922317;30;0;-1;0;811;0.4;184.43;;;
37.222880;-5.922254;30;0;-1;0;811;0.42;184.41;;;
37.222708;-5.922189;30;0;-1;0;811;0.44;184.39;;;
37.222535;-5.922127;30;0;-1;0;811;0.46;184.37;;;
37.222362;-5.922067;30;0;-1;0;811;0.48;184.35;;;
37.222188;-5.922007;29;0;-1;0;811;0.5;184.33;;;
37.222015;-5.921947;29;0;-1;0;811;0.52;184.31;;;
37.221841;-5.921888;29;0;-1;0;811;0.54;184.29;;;
37.221321;-5.921708;28;0;-2;0;811;0.6;184.23;;;
37.221148;-5.921648;28;0;-2;0;811;0.62;184.21;;;
37.220974;-5.921588;27;0;-2;0;811;0.64;184.19;;;
37.220801;-5.921528;27;0;-2;0;811;0.66;184.17;;;
37.220627;-5.921468;27;0;-2;0;811;0.68;184.15;;;
37.220454;-5.921409;26;0;-2;0;811;0.7;184.13;;;
37.220280;-5.921349;26;0;-2;0;811;0.72;184.11;;;
37.220107;-5.921289;26;0;-2;0;811;0.74;184.09;;;
37.219934;-5.921229;25;0;-2;0;811;0.76;184.07;;;
37.219760;-5.921169;25;0;-2;0;811;0.78;184.05;;;
37.219587;-5.921110;24;0;-1;0;811;0.8;184.03;;;
37.219413;-5.921050;24;0;-1;0;811;0.82;184.01;;;
37.219240;-5.920990;24;0;-1;0;811;0.84;183.99;;;
37.219067;-5.920930;24;0;-1;0;811;0.86;183.97;;;
37.218892;-5.920874;24;0;-1;0;811;0.88;183.95;;;
37.218714;-5.920844;23;0;-1;0;811;0.9;183.93;;;
37.218536;-5.920812;23;0;-1;0;811;0.92;183.91;;;
37.218357;-5.920797;23;0;-1;0;811;0.94;183.89;;;
37.218177;-5.920796;23;0;-1;0;811;0.96;183.87;;;
37.217998;-5.920813;23;0;-1;0;811;0.98;183.85;;;
37.217818;-5.920829;22;0;-1;0;811;1;183.83;;;
37.217639;-5.920845;22;0;-2;0;811;1.02;183.81;;;
37.217460;-5.920865;22;0;-2;0;811;1.04;183.79;;;
37.217287;-5.920925;21;0;-1;0;811;1.06;183.77;;;
37.217114;-5.920986;21;0;-1;0;811;1.08;183.75;;;
37.216286;-5.921418;20;0;-1;0;811;1.18;183.65;;;
37.216137;-5.921543;20;0;-1;0;811;1.2;183.63;;;
37.215987;-5.921668;20;0;-1;0;811;1.22;183.61;;;
37.215837;-5.921792;20;0;-1;0;811;1.24;183.59;;;
37.215664;-5.921853;20;0;-1;0;811;1.26;183.57;;;
37.215485;-5.921857;19;0;-1;0;811;1.28;183.55;;;
37.215307;-5.921887;19;0;-1;0;811;1.3;183.53;;;
37.215130;-5.921925;19;0;-1;0;811;1.32;183.51;;;
37.214960;-5.921996;19;0;0;0;811;1.34;183.49;;;
